college_name,address,year,organization_type,size,area,graduation_rate,financial_aid,sat_score
Drew University,"Madison, NJ",4-year,Private,Small,Suburban,74%,$28K,1120-1300
Robert Morris University,"Coraopolis, PA",4-year,Private,Small,Suburban,65%,$24K,Unknown
Manhattan University,"Bronx, NY",4-year,Private,Small,Urban,72%,$30K,1140-1330
New Jersey City University,"Jersey City, NJ",4-year,Public,Medium,Urban,39%,$19K,Unknown
City University of New York: Lehman College,"Bronx, NY",4-year,Public,Large,Urban,54%,$5K,Unknown
SUNY Maritime College,"Bronx, NY",4-year,Public,Small,Urban,73%,$20K,Unknown
Bos Man's Barber College,"Shreveport, LA",Less than 2-year,Unknown,Unknown,Urban,Unknown,$13K,Unknown
Boston Baptist College,"Hyde Park, MA",4-year,Private,Unknown,Suburban,13%,$16K,Unknown
Lipscomb University,"Nashville, TN",4-year,Private,Small,Suburban,69%,$28K,1110-1290
Texas Lutheran University,"Seguin, TX",4-year,Private,Small,Suburban,54%,$21K,1040-1170
Western Connecticut State University,"Danbury, CT",4-year,Public,Medium,Urban,51%,$16K,Unknown
Truett McConnell University,"Cleveland, GA",4-year,Private,Unknown,Suburban,46%,$19K,1000-1210
University Of Olivet,"Olivet, MI",4-year,Private,Small,Rural,44%,$21K,Unknown
Florida SouthWestern State College,"Fort Myers, FL",2-year,Public,Large,Suburban,Unknown,$8K,Unknown
Ohio University: Chillicothe Campus,"Chillicothe, OH",2-year,Public,Small,Suburban,13%,$8K,Unknown
Presbyterian College,"Clinton, SC",4-year,Private,Small,Rural,60%,$22K,1020-1270
Denmark Technical College,"Denmark, SC",2-year,Public,Unknown,Rural,Unknown,$13K,Unknown
Westfield State University,"Westfield, MA",4-year,Public,Medium,Suburban,60%,$18K,Unknown
Yeshiva Ohr Zechariah,"Lakewood, NJ",4-year,Private,Unknown,Suburban,6%,$7K,Unknown
University of Hawaii at Manoa,"Honolulu, HI",4-year,Public,Large,Urban,62%,$14K,Unknown
University Of Florida Online,"Gainesville, FL",4-year,Public,Unknown,Urban,59%,$11K,Unknown
Ohio University: Southern Campus at Ironton,"Ironton, OH",4-year,Public,Small,Rural,13%,$8K,Unknown
Colorado Northwestern Community College,"Rangely, CO",2-year,Public,Small,Rural,Unknown,$13K,Unknown
Luther College,"Decorah, IA",4-year,Private,Small,Rural,74%,$26K,1040-1270
Mount Saint Mary's University,"Los Angeles, CA",4-year,Private,Small,Urban,61%,$29K,920-1110
University Of North Carolina School Of The Arts,"Winston Salem, NC",4-year,Public,Small,Suburban,82%,$11K,1175-1345
Victor Valley College,"Victorville, CA",2-year,Public,Medium,Rural,Unknown,$13K,Unknown
Savannah State University,"Savannah, GA",4-year,Public,Medium,Suburban,28%,$9K,Unknown
Holy Apostles College and Seminary,"Cromwell, CT",4-year,Private,Small,Suburban,Unknown,$13K,Unknown
University of Missouri: Columbia,"Columbia, MO",4-year,Public,Very Large,Suburban,75%,$20K,Unknown
John Brown University,"Siloam Springs, AR",4-year,Private,Small,Suburban,71%,$21K,1130-1218
Marian University,"Fond Du Lac, WI",4-year,Private,Small,Suburban,51%,$25K,900-1070
City University of New York: LaGuardia Community College,"Long Island City, NY",2-year,Public,Large,Urban,Unknown,$9K,Unknown
Southern Virginia University,"Buena Vista, VA",4-year,Private,Unknown,Rural,46%,$23K,Unknown
University of Wisconsin-Madison,"Madison, WI",4-year,Public,Very Large,Urban,89%,$13K,1370-1490
North Idaho College,"Coeur D Alene, ID",2-year,Public,Small,Urban,Unknown,$8K,Unknown
Blue Mountain Christian University,"Blue Mountain, MS",4-year,Private,Small,Rural,39%,$15K,980-1150
Nebraska College of Technical Agriculture,"Curtis, NE",2-year,Public,Small,Rural,Unknown,$13K,Unknown
SUNY University at Buffalo,"Buffalo, NY",4-year,Public,Very Large,Suburban,74%,$19K,Unknown
College of the Desert,"Palm Desert, CA",2-year,Public,Unknown,Suburban,Unknown,$14K,Unknown
SUNY Niagara,"Sanborn, NY",2-year,Public,Medium,Rural,Unknown,$7K,Unknown
Wagner College,"Staten Island, NY",4-year,Private,Small,Suburban,60%,$30K,1170-1320
Universidad Central del Caribe,"Bayamon, PR",4-year,Private,Unknown,Urban,18%,$8K,Unknown
North Shore Community College,"Danvers, MA",2-year,Public,Unknown,Suburban,Unknown,$8K,Unknown
West Liberty University,"West Liberty, WV",4-year,Public,Unknown,Rural,58%,$14K,Unknown
Keser Torah Mayan Hatalmud,"Lakewood, NJ",4-year,Private,Unknown,Suburban,Unknown,$5K,Unknown
Whittier College,"Whittier, CA",4-year,Private,Small,Suburban,66%,$28K,1060-1200
Herzing University: Minneapolis,"St Louis Park, MN",4-year,Private,Unknown,Suburban,38%,$20K,Unknown
Harrisburg University of Science and Technology,"Harrisburg, PA",4-year,Private,Small,Urban,31%,$14K,Unknown
Columbia International University,"Columbia, SC",4-year,Private,Small,Suburban,68%,$20K,990-1195
Augsburg University,"Minneapolis, MN",4-year,Private,Small,Urban,56%,$25K,1203-1325
Knox College,"Galesburg, IL",4-year,Private,Small,Rural,75%,$27K,1195-1368
Southern University at New Orleans,"New Orleans, LA",4-year,Public,Unknown,Urban,17%,$15K,Unknown
Southeastern Oklahoma State University,"Durant, OK",4-year,Public,Medium,Rural,34%,$10K,Unknown
Toccoa Falls College,"Toccoa Falls, GA",4-year,Private,Small,Rural,46%,$21K,1060-1230
Arkansas State University,"Jonesboro, AR",4-year,Public,Unknown,Suburban,51%,$12K,Unknown
Central Christian College of Kansas,"McPherson, KS",4-year,Private,Small,Suburban,27%,$16K,900-1060
Immaculata University,"Immaculata, PA",4-year,Private,Small,Suburban,61%,$29K,1120-1273
Southern University and Agricultural and Mechanical College,"Baton Rouge, LA",4-year,Public,Medium,Suburban,30%,$17K,800-980
Thomas More University,"Crestview Hills, KY",4-year,Private,Small,Suburban,44%,$22K,Unknown
Ursinus College,"Collegeville, PA",4-year,Private,Small,Suburban,73%,$34K,1200-1340
ETI Technical College of Niles,"Niles, OH",2-year,Private,Small,Urban,Unknown,$14K,Unknown
National Paralegal College,"Phoenix, AZ",4-year,Unknown,Small,Urban,30%,$14K,Unknown
Edward Waters University,"Jacksonville, FL",4-year,Private,Unknown,Urban,30%,$14K,Unknown
Seminole State College,"Seminole, OK",2-year,Public,Small,Suburban,Unknown,$14K,Unknown
Derech Hachaim Seminary,"Monroe, NY",Unknown,Private,Unknown,Suburban,Unknown,$11K,Unknown
San Diego State University,"San Diego, CA",4-year,Public,Very Large,Urban,78%,$13K,1130-1340
Clarke University,"Dubuque, IA",4-year,Private,Small,Urban,58%,$27K,930-1120
University of Hawaii at Hilo,"Hilo, HI",4-year,Public,Small,Rural,42%,$14K,940-1085
Bethany College,"Lindsborg, KS",4-year,Private,Small,Rural,29%,$30K,805-1040
Northeastern Junior College,"Sterling, CO",2-year,Public,Small,Rural,Unknown,$14K,Unknown
Saint Elizabeth University,"Morristown, NJ",4-year,Private,Small,Suburban,44%,$22K,Unknown
City University of New York: Kingsborough Community College,"Brooklyn, NY",2-year,Public,Medium,Urban,Unknown,$8K,Unknown
Laurel Business Institute,"Uniontown, PA",2-year,Private,Unknown,Suburban,Unknown,$7K,Unknown
Vincennes University,"Vincennes, IN",2-year,Public,Medium,Rural,21%,$10K,Unknown
Cedarville University,"Cedarville, OH",4-year,Private,Medium,Rural,75%,$25K,1120-1350
Bethany Lutheran College,"Mankato, MN",4-year,Private,Small,Rural,57%,$19K,1020-1260
Blinn College,"Brenham, TX",2-year,Public,Unknown,Rural,Unknown,$14K,Unknown
Indiana Institute of Technology,"Fort Wayne, IN",4-year,Private,Small,Urban,35%,$22K,920-1150
North Carolina State University,"Raleigh, NC",4-year,Public,Very Large,Urban,86%,$15K,1290-1440
Georgia Southwestern State University,"Americus, GA",4-year,Public,Small,Suburban,36%,$12K,Unknown
Bellin College,"Green Bay, WI",4-year,Private,Unknown,Suburban,76%,$26K,Unknown
Harrisburg Area Community College,"Harrisburg, PA",2-year,Public,Large,Urban,Unknown,$10K,Unknown
University of Alabama in Huntsville,"Huntsville, AL",4-year,Public,Medium,Suburban,63%,$19K,Unknown
Ohio Northern University,"Ada, OH",4-year,Private,Small,Rural,67%,$27K,1160-1360
University of Advancing Technology,"Tempe, AZ",4-year,Private,Unknown,Urban,42%,$20K,Unknown
University Of Missouri - Saint Louis,"Saint Louis, MO",4-year,Public,Medium,Urban,52%,$13K,1040-1210
Rutgers The State University Of New Jersey,"New Brunswick, NJ",4-year,Public,Very Large,Suburban,84%,$18K,Unknown
Bemidji State University,"Bemidji, MN",4-year,Public,Unknown,Rural,49%,$16K,Unknown
Belmont Abbey College,"Belmont, NC",4-year,Private,Unknown,Suburban,47%,$24K,Unknown
SUNY Morrisville,"Morrisville, NY",4-year,Public,Small,Rural,29%,$16K,Unknown
Northwest Nazarene University,"Nampa, ID",4-year,Private,Small,Suburban,58%,$26K,960-1190
Marquette University,"Milwaukee, WI",4-year,Private,Medium,Urban,83%,$33K,1220-1350
Allegheny College,"Meadville, PA",4-year,Private,Small,Suburban,68%,$27K,1030-1310
University of Arkansas at Pine Bluff,"Pine Bluff, AR",4-year,Public,Unknown,Urban,41%,$10K,Unknown
Baptist Health Sciences University,"Memphis, TN",4-year,Private,Unknown,Urban,57%,$10K,Unknown
University of Maryland: Baltimore County,"Baltimore, MD",4-year,Public,Large,Suburban,70%,$18K,Unknown
University of the West,"Rosemead, CA",4-year,Private,Small,Suburban,20%,$19K,Unknown
Simmons University,"Boston, MA",4-year,Private,Small,Urban,74%,$24K,1230-1390
Suffolk University,"Boston, MA",4-year,Private,Medium,Urban,60%,$32K,1118-1270
EDP University Of Puerto Rico Manati,"Manati, PR",4-year,Private,Unknown,Suburban,Unknown,$6K,Unknown
Albertus Magnus College,"New Haven, CT",4-year,Private,Small,Suburban,50%,$27K,830-1170
Ohio State University: Columbus Campus,"Columbus, OH",4-year,Public,Very Large,Urban,88%,$20K,1290-1440
University Of Illinois Urbana Champaign,"Champaign, IL",4-year,Public,Very Large,Urban,85%,$15K,1350-1510
Rochester General Isabella Graham Hart School of Practical Nursing,"Rochester, NY",Less than 2-year,Unknown,Unknown,Suburban,Unknown,$15K,Unknown
Franciscan Missionaries Of Our Lady University,"Baton Rouge, LA",4-year,Private,Small,Urban,47%,$16K,Unknown
Nelson University,"Waxahachie, TX",4-year,Private,Small,Suburban,52%,$19K,Unknown
The Master's University and Seminary,"Newhall, CA",4-year,Private,Small,Suburban,73%,$31K,970-1190
Florida College,"Temple Terrace, FL",4-year,Private,Small,Suburban,33%,$21K,980-1200
University of Puerto Rico: Ponce,"Ponce, PR",4-year,Public,Small,Urban,47%,$5K,Unknown
Utica University,"Utica, NY",4-year,Private,Small,Suburban,58%,$22K,Unknown
Saint Anselm College,"Manchester, NH",4-year,Private,Small,Suburban,85%,$35K,1113-1270
Life Pacific University,"San Dimas, CA",4-year,Private,Unknown,Suburban,46%,$22K,Unknown
College Of Business And Technology Flagler,"Miami, FL",2-year,Private,Unknown,Urban,Unknown,$13K,Unknown
Northern Illinois University,"Dekalb, IL",4-year,Public,Large,Urban,53%,$14K,Unknown
Horry-Georgetown Technical College,"Conway, SC",2-year,Public,Unknown,Suburban,Unknown,$4K,Unknown
Inter American University Of Puerto Rico Ponce,"Mercedita, PR",4-year,Private,Small,Suburban,31%,$9K,Unknown
Hartwick College,"Oneonta, NY",4-year,Private,Small,Rural,53%,$22K,1020-1180
University of Akron: Wayne College,"Orrville, OH",4-year,Public,Unknown,Rural,Unknown,$8K,Unknown
Mount Aloysius College,"Cresson, PA",4-year,Private,Small,Rural,41%,$21K,Unknown
Universidad Pentecostal Mizpa,"San Juan, PR",4-year,Private,Small,Urban,Unknown,$5K,Unknown
Fisher College,"Boston, MA",4-year,Private,Small,Urban,32%,$26K,865-1120
University of Puerto Rico: Arecibo,"Arecibo, PR",4-year,Public,Small,Urban,50%,$9K,Unknown
University of Vermont,"Burlington, VT",4-year,Public,Large,Suburban,76%,$22K,1270-1410
Missouri Valley College,"Marshall, MO",4-year,Private,Small,Rural,23%,$18K,930-1130
Lake Erie College,"Painesville, OH",4-year,Private,Small,Suburban,42%,$23K,Unknown
South Carolina State University,"Orangeburg, SC",4-year,Public,Small,Urban,34%,$17K,Unknown
Broward College,"Fort Lauderdale, FL",4-year,Public,Very Large,Urban,Unknown,$15K,Unknown
Lenoir Community College,"Kinston, NC",2-year,Public,Small,Rural,Unknown,$6K,Unknown
Fresno Pacific University,"Fresno, CA",4-year,Private,Unknown,Suburban,50%,$15K,Unknown
Bethany Global University,"Minneapolis, MN",4-year,Private,Unknown,Urban,40%,$21K,Unknown
University of South Florida,"Tampa, FL",4-year,Public,Very Large,Urban,74%,$11K,1230-1370
Trinity College of Florida,"Trinity, FL",4-year,Private,Small,Suburban,Unknown,$15K,Unknown
College of the Atlantic,"Bar Harbor, ME",4-year,Private,Small,Rural,58%,$22K,1258-1413
Westminster University,"Salt Lake City, UT",4-year,Private,Small,Urban,65%,$27K,1080-1320
Ulster County Community College,"Stone Ridge, NY",2-year,Public,Small,Rural,Unknown,$7K,Unknown
Mercy College of Health Sciences,"Des Moines, IA",4-year,Private,Small,Urban,38%,$22K,Unknown
South Dakota School of Mines and Technology,"Rapid City, SD",4-year,Public,Small,Suburban,56%,$21K,Unknown
Beloit College,"Beloit, WI",4-year,Private,Small,Urban,71%,$20K,1250-1380
Harding University,"Searcy, AR",4-year,Private,Medium,Suburban,69%,$20K,1030-1270
Yeshiva Yesodei Hatorah,"Lakewood, NJ",4-year,Private,Unknown,Suburban,5%,$14K,Unknown
St John Fisher University,"Rochester, NY",4-year,Private,Small,Suburban,72%,$28K,1120-1270
McMurry University,"Abilene, TX",4-year,Private,Small,Suburban,37%,$19K,1010-1190
University Of Findlay,"Findlay, OH",4-year,Private,Small,Suburban,66%,$24K,Unknown
Southeastern University,"Lakeland, FL",4-year,Private,Medium,Suburban,46%,$28K,1010-1210
Siena College,"Albany, NY",4-year,Private,Medium,Suburban,76%,$31K,1113-1348
Walla Walla University,"College Place, WA",4-year,Private,Small,Rural,62%,$25K,1010-1260
Berry College,"Mount Berry, GA",4-year,Private,Small,Suburban,65%,$25K,1115-1305
Concordia University St. Paul,"Saint Paul, MN",4-year,Private,Small,Urban,51%,$18K,Unknown
University of Massachusetts Amherst,"Amherst, MA",4-year,Public,Very Large,Suburban,83%,$22K,1310-1460
Southwestern College,"Winfield, KS",4-year,Private,Small,Rural,38%,$27K,770-1030
Suffolk County Community College,"Selden, NY",2-year,Public,Large,Suburban,Unknown,$6K,Unknown
Nazareth University,"Rochester, NY",4-year,Private,Small,Suburban,69%,$32K,1100-1310
Penn State Berks,"Reading, PA",4-year,Public,Small,Suburban,32%,$22K,Unknown
College of the Muscogee Nation,"Okmulgee, OK",2-year,Public,Small,Rural,Unknown,$16K,Unknown
Galaxy Medical College,"North Hollywood, CA",Unknown,Private,Unknown,Urban,Unknown,$12K,Unknown
University of Central Missouri,"Warrensburg, MO",4-year,Public,Medium,Rural,53%,$15K,Unknown
University of Scranton,"Scranton, PA",4-year,Private,Medium,Urban,80%,$36K,1160-1300
Hawaii Pacific University,"Honolulu, HI",4-year,Private,Small,Urban,46%,$31K,1078-1253
Western Nevada College,"Carson City, NV",4-year,Public,Small,Suburban,Unknown,$16K,Unknown
Limestone University,"Gaffney, SC",4-year,Private,Small,Suburban,27%,$23K,930-1120
Lawrence Technological University,"Southfield, MI",4-year,Private,Small,Suburban,65%,$33K,1010-1220
Point Loma Nazarene University,"San Diego, CA",4-year,Private,Medium,Suburban,76%,$35K,1170-1380
SUNY University at Stony Brook,"Stony Brook, NY",4-year,Public,Very Large,Suburban,78%,$17K,1330-1470
Chaminade University of Honolulu,"Honolulu, HI",4-year,Private,Small,Urban,66%,$27K,Unknown
North Central College,"Naperville, IL",4-year,Private,Small,Suburban,63%,$25K,1010-1228
Randolph Community College,"Asheboro, NC",2-year,Public,Small,Rural,Unknown,$8K,Unknown
University of Maryland: College Park,"College Park, MD",4-year,Public,Very Large,Suburban,89%,$16K,1410-1520
University of South Carolina: Beaufort,"Beaufort, SC",4-year,Public,Unknown,Suburban,38%,$16K,Unknown
MidAmerica Nazarene University,"Olathe, KS",4-year,Private,Small,Suburban,41%,$29K,960-1060
California State University: Long Beach,"Long Beach, CA",4-year,Public,Very Large,Suburban,73%,$9K,Unknown
Duquesne University,"Pittsburgh, PA",4-year,Private,Medium,Urban,76%,$34K,1170-1338
University of Michigan: Flint,"Flint, MI",4-year,Public,Medium,Urban,46%,$11K,950-1210
Valencia College,"Orlando, FL",4-year,Public,Very Large,Urban,Unknown,$10K,Unknown
DigiPen Institute of Technology,"Redmond, WA",4-year,Private,Small,Suburban,60%,$38K,578-680
Southwestern Baptist Theological Seminary,"Fort Worth, TX",4-year,Private,Unknown,Urban,37%,$13K,Unknown
Ripon College,"Ripon, WI",4-year,Private,Small,Rural,56%,$22K,Unknown
Herzing University,"Akron, OH",4-year,Private,Unknown,Suburban,31%,$21K,Unknown
Division of Higher Learning Of Associated Beth Rivkah Schools,"Brooklyn, NY",4-year,Private,Unknown,Urban,Unknown,$16K,Unknown
Penn State Beaver,"Monaca, PA",4-year,Public,Small,Suburban,20%,$18K,Unknown
Kent State University: East Liverpool,"East Liverpool, OH",4-year,Public,Small,Suburban,2%,$11K,Unknown
Lawrence University,"Appleton, WI",4-year,Private,Small,Urban,78%,$26K,1240-1420
Huston-Tillotson University,"Austin, TX",4-year,Private,Small,Urban,32%,$21K,800-960
University Of Hawaii Leeward Community College,"Pearl City, HI",2-year,Public,Medium,Suburban,Unknown,$8K,Unknown
Baker University,"Baldwin City, KS",4-year,Private,Small,Rural,48%,$24K,Unknown
Penn State Wilkes-Barre,"Dallas, PA",4-year,Public,Small,Suburban,19%,$17K,Unknown
Stonehill College,"North Easton, MA",4-year,Private,Small,Suburban,79%,$31K,1130-1280
Butler University,"Indianapolis, IN",4-year,Private,Medium,Urban,79%,$37K,1198-1340
DePauw University,"Greencastle, IN",4-year,Private,Small,Rural,79%,$29K,1160-1360
Montgomery College Rockville,"Rockville, MD",2-year,Public,Unknown,Suburban,Unknown,$8K,Unknown
Kettering University,"Flint, MI",4-year,Private,Small,Urban,69%,$34K,1100-1290
ASPIRA City College,"Philadelphia, PA",2-year,Private,Unknown,Urban,Unknown,$17K,Unknown
Hendrix College,"Conway, AR",4-year,Private,Small,Suburban,69%,$23K,1120-1330
Milwaukee School of Engineering,"Milwaukee, WI",4-year,Private,Small,Urban,71%,$26K,1180-1340
Elmira College,"Elmira, NY",4-year,Private,Small,Suburban,56%,$24K,1395-1485
Oklahoma State University Institute of Technology: Okmulgee,"Okmulgee, OK",4-year,Public,Small,Rural,Unknown,$11K,Unknown
Goucher College,"Towson, MD",4-year,Private,Small,Suburban,58%,$31K,1115-1340
Penn State DuBois,"Du Bois, PA",4-year,Public,Small,Rural,17%,$18K,Unknown
William Jessup University,"Rocklin, CA",4-year,Private,Small,Suburban,52%,$28K,1205-1275
Willamette University,"Salem, OR",4-year,Private,Small,Urban,76%,$33K,1240-1400
SUNY Adirondack,"Queensbury, NY",2-year,Public,Small,Rural,Unknown,$9K,Unknown
University of Georgia,"Athens, GA",4-year,Public,Very Large,Suburban,87%,$17K,1230-1410
